station_name,,lines,historical,borough,county,latitude,longitude,wifi_available,at_t,sprint,t_mobile,verizon
Fordham Rd,,,FALSE,Bronx,Bronx County,40.861296,-73.897749,No,Yes,Yes,Yes,Yes
Cortland St,,,FALSE,Manhattan,New York County,40.710688,-74.011029,No,Yes,Yes,Yes,Yes
Atlantic Ave,,,TRUE,Brooklyn,Kings County,40.68446,-73.97689,No,No,No,No,No
Lexington Ave,,,FALSE,Manhattan,New York County,40.757552,-73.969055,No,No,Yes,No,No
8 Av,,,FALSE,Manhattan,New York County,40.739777,-74.002578,No,Yes,Yes,Yes,Yes
East Broadway,,,FALSE,Manhattan,New York County,40.713715,-73.990173,No,Yes,Yes,Yes,Yes
116th St,,1,TRUE,Manhattan,New York County,40.807722,-73.96411,No,Yes,Yes,Yes,Yes
World Trade Center,,,FALSE,Manhattan,New York County,40.712582,-74.009781,No,No,Yes,No,No
Canal St,,,FALSE,Manhattan,New York County,40.718092,-73.999892,No,No,Yes,No,No
Rockaway Ave,,,FALSE,Brooklyn,Kings County,40.67834,-73.911946,No,No,No,No,No
Union St,,,FALSE,Brooklyn,Kings County,40.677316,-73.98311,No,No,No,No,No
Grand Ave,,,FALSE,Queens,Queens County,40.737015,-73.877223,No,Yes,Yes,Yes,Yes
Bowling Green,,45,TRUE,Manhattan,New York County,40.704817,-74.014065,No,No,No,No,No
138th St,,4,FALSE,Bronx,Bronx County,40.813224,-73.929849,No,Yes,Yes,Yes,Yes
34 St,,7,FALSE,Manhattan,New York County,40.7558389,-74.0019611,No,No,No,No,No
Parsons Blvd,,,FALSE,Queens,Queens County,40.702147,-73.801109,No,Yes,Yes,Yes,Yes
138th St-3rd Ave,,6,FALSE,Bronx,Bronx County,40.810476,-73.926138,No,Yes,Yes,Yes,Yes
81st St,,,FALSE,Manhattan,New York County,40.781433,-73.972143,No,Yes,Yes,Yes,Yes
Bay Ridge Ave,,,FALSE,Brooklyn,Kings County,40.634967,-74.023377,No,No,No,No,No
Jay St-Boro Hall / PBX2,,,FALSE,Brooklyn,Kings County,40.692338,-73.987342,No,No,No,No,No
Chambers St,,,FALSE,Manhattan,New York County,40.714111,-74.008585,No,No,Yes,No,No
77th St,,6,FALSE,Manhattan,New York County,40.77362,-73.959874,No,Yes,Yes,Yes,Yes
65th St,,,FALSE,Queens,Queens County,40.749669,-73.898453,No,Yes,Yes,Yes,Yes
Carroll St,,,FALSE,Brooklyn,Kings County,40.680303,-73.995048,No,No,No,No,No
Graham Ave,,,FALSE,Brooklyn,Kings County,40.714565,-73.944053,No,Yes,Yes,No,Yes
Roosevelt Island,,,FALSE,Queens,Queens County,40.759145,-73.95326,No,No,No,No,No
East 143rd St,,6,FALSE,Bronx,Bronx County,40.808719,-73.907657,No,Yes,Yes,Yes,Yes
66th St,,1,FALSE,Manhattan,New York County,40.77344,-73.982209,No,Yes,Yes,Yes,Yes
Montrose Ave,,,FALSE,Brooklyn,Kings County,40.707739,-73.93985,No,No,No,No,No
Euclid Ave,,,FALSE,Brooklyn,Kings County,40.675377,-73.872106,No,No,No,No,No
Whitehall St,,,FALSE,Manhattan,New York County,40.703087,-74.012994,No,No,No,No,No
Grand St.,,,FALSE,Manhattan,New York County,40.718267,-73.993753,No,No,Yes,No,No
23rd St,,,FALSE,Manhattan,New York County,40.741303,-73.989344,No,Yes,Yes,Yes,Yes
96th St,,6,FALSE,Manhattan,New York County,40.785672,-73.95107,No,Yes,Yes,Yes,Yes
181st St.,,1,TRUE,Manhattan,New York County,40.849505,-73.933596,No,No,No,No,No
57th St,,,FALSE,Manhattan,New York County,40.763971,-73.977451,No,Yes,Yes,Yes,Yes
Church Ave,,25,FALSE,Brooklyn,Kings County,40.650843,-73.949575,No,No,No,No,No
Dyckman St,,,FALSE,Manhattan,New York County,40.865491,-73.927271,No,Yes,Yes,Yes,Yes
Nostrand Ave,,3,FALSE,Brooklyn,Kings County,40.669847,-73.950466,No,No,No,No,No
Parsons Blvd,,,FALSE,Queens,Queens County,40.707564,-73.803326,No,Yes,Yes,Yes,Yes
Nassau Ave,,,FALSE,Brooklyn,Kings County,40.724635,-73.951277,No,Yes,Yes,No,Yes
Brooklyn Museum-Eastern Pkwy,,23,FALSE,Brooklyn,Kings County,40.671987,-73.964375,No,No,No,No,No
